Format Version,1.23,Take Name,5-6-SID-roll2,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-05-06 08.30.54.933 AM,Capture Start Frame,172841,Total Frames in Take,51877,Total Exported Frames,51877,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,drone,drone,drone,drone,drone,drone
,ID,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
141,1.175000,-0.307196,0.199139,0.017724,-0.033531,0.232992,0.723997
142,1.183000,-0.292484,0.207186,0.035026,-0.033534,0.232975,0.724005
143,1.192000,-0.304587,0.208039,0.020763,-0.033530,0.232981,0.724004
144,1.200000,-0.311469,0.200294,0.018977,-0.033527,0.232985,0.723996
145,1.208000,-0.311277,0.198862,0.019507,-0.033528,0.232991,0.723992
146,1.217000,-0.316254,0.198228,0.008930,-0.033536,0.232995,0.723994
147,1.225000,-0.312605,0.202907,0.022020,-0.033533,0.232987,0.723996
148,1.233000,-0.305474,0.196946,0.011499,-0.033535,0.232989,0.723999
149,1.242000,-0.309720,0.204631,0.018816,-0.033532,0.232992,0.723999
150,1.250000,-0.311034,0.201923,0.019895,-0.033529,0.232985,0.724000
151,1.258000,-0.309926,0.203969,0.020547,-0.033529,0.232992,0.723994
152,1.267000,-0.307147,0.204517,0.013027,-0.033532,0.232987,0.724000
153,1.275000,-0.306378,0.208487,0.019222,-0.033523,0.232984,0.724000
154,1.283000,-0.307695,0.203515,0.013558,-0.033533,0.232986,0.724002
155,1.292000,-0.312499,0.201176,0.018753,-0.033530,0.232986,0.724000
156,1.300000,-0.291837,0.210777,0.034636,-0.033536,0.232975,0.724012
157,1.308000,-0.297027,0.208769,0.022568,-0.033528,0.232980,0.724005
158,1.317000,-0.289163,0.206959,0.031916,-0.033530,0.232973,0.724010
159,1.325000,-0.303855,0.207517,0.024194,-0.033523,0.232984,0.723999
160,1.333000,-0.314173,0.207300,0.016827,-0.033532,0.232990,0.723997
161,1.342000,-0.310032,0.205334,0.019164,-0.033527,0.232985,0.723993
162,1.350000,-0.310656,0.198006,0.026575,-0.033530,0.232987,0.723998
163,1.358000,-0.306629,0.206183,0.018120,-0.033528,0.232986,0.724001
164,1.367000,-0.310532,0.201541,0.021204,-0.033531,0.232987,0.723998
165,1.375000,-0.312462,0.203904,0.010112,-0.033533,0.232991,0.724000
166,1.383000,-0.311116,0.206305,0.017981,-0.033531,0.232992,0.724000
167,1.392000,-0.309668,0.205027,0.023072,-0.033525,0.232991,0.723996
168,1.400000,-0.311358,0.203070,0.015449,-0.033533,0.232990,0.723998
169,1.408000,-0.303574,0.204775,0.013058,-0.033526,0.232986,0.723998
170,1.417000,-0.311628,0.201702,0.018623,-0.033530,0.232991,0.723993
171,1.425000,-0.307192,0.201743,0.016469,-0.033531,0.232986,0.723995
172,1.433000,-0.284598,0.204896,0.035828,-0.033533,0.232973,0.724010
173,1.442000,-0.305808,0.204478,0.018121,-0.033529,0.232985,0.724002
174,1.450000,-0.307437,0.205689,0.015164,-0.033532,0.232989,0.723994
175,1.458000,-0.292406,0.206130,0.034836,-0.033536,0.232977,0.724010
176,1.467000,-0.303479,0.204393,0.020126,-0.033527,0.232985,0.724006
177,1.475000,-0.305534,0.206561,0.021169,-0.033530,0.232990,0.724001
178,1.483000,-0.306230,0.205240,0.022331,-0.033529,0.232991,0.723998
179,1.492000,-0.308786,0.199980,0.016997,-0.033530,0.232993,0.724000
180,1.500000,-0.303914,0.208057,0.022024,-0.033529,0.232987,0.724002
181,1.508000,-0.310448,0.198205,0.018640,-0.033530,0.232988,0.723997
182,1.517000,-0.308800,0.202994,0.018864,-0.033525,0.232986,0.724001
183,1.525000,-0.314367,0.205035,0.022185,-0.033532,0.232995,0.723994
184,1.533000,-0.288554,0.204612,0.029602,-0.033532,0.232971,0.724007
185,1.542000,-0.295815,0.204993,0.026651,-0.033524,0.232980,0.724001
186,1.550000,-0.302165,0.206440,0.024435,-0.033528,0.232984,0.724005
187,1.558000,-0.314947,0.197745,0.015149,-0.033528,0.232990,0.723999
188,1.567000,-0.298342,0.206629,0.029709,-0.033537,0.232978,0.724010
189,1.575000,-0.300184,0.209317,0.024484,-0.033527,0.232984,0.724006
190,1.583000,-0.309724,0.199191,0.017732,-0.033529,0.232989,0.724000
191,1.592000,-0.315078,0.198465,0.017677,-0.033529,0.232991,0.723994
192,1.600000,-0.312854,0.195606,0.010165,-0.033534,0.232988,0.724000
193,1.608000,-0.305681,0.203765,0.021280,-0.033529,0.232987,0.723996
194,1.617000,-0.311161,0.204170,0.011442,-0.033529,0.232991,0.723993
195,1.625000,-0.312156,0.202833,0.020221,-0.033528,0.232991,0.723998
196,1.633000,-0.315181,0.197465,0.018420,-0.033531,0.232990,0.723993
197,1.642000,-0.312358,0.201664,0.019723,-0.033532,0.232990,0.723996
198,1.650000,-0.310301,0.201305,0.013592,-0.033530,0.232988,0.723999
199,1.658000,-0.291027,0.204707,0.038403,-0.033529,0.232972,0.724011
200,1.667000,-0.298170,0.205243,0.020000,-0.033529,0.232980,0.724003
201,1.675000,-0.308961,0.203627,0.018722,-0.033529,0.232986,0.723999
202,1.683000,-0.294826,0.210031,0.032770,-0.033534,0.232975,0.724011
203,1.692000,-0.298138,0.214294,0.018716,-0.033525,0.232977,0.724006
204,1.700000,-0.287038,0.208606,0.035688,-0.033531,0.232971,0.724011
