Format Version,1.23,Take Name,Drone-Take1-Mar12,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2025-03-12 04.10.17.929 PM,Capture Start Frame,534588,Total Frames in Take,45018,Total Exported Frames,45018,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Optic Flow Drone,Optic Flow Drone,Optic Flow Drone,Optic Flow Drone,Optic Flow Drone,Optic Flow Drone
,ID,11CA5A58FF8E11EFE509D45A5468D7BA,11CA5A58FF8E11EFE509D45A5468D7BA,11CA5A58FF8E11EFE509D45A5468D7BA,11CA5A58FF8E11EFE509D45A5468D7BA,11CA5A58FF8E11EFE509D45A5468D7BA,11CA5A58FF8E11EFE509D45A5468D7BA
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
178,0.742000,8.235060,2.551344,-2.644411,-0.186738,0.748363,1.373181
179,0.746000,8.264238,2.537832,-2.658292,-0.186820,0.748393,1.373279
180,0.750000,8.291484,2.534408,-2.664794,-0.186909,0.748425,1.373336
181,0.754000,8.312267,2.522395,-2.660506,-0.186985,0.748472,1.373385
182,0.758000,8.346898,2.511667,-2.666169,-0.187072,0.748506,1.373463
183,0.763000,8.373070,2.506617,-2.671078,-0.187176,0.748540,1.373518
184,0.767000,8.391122,2.498004,-2.675948,-0.187266,0.748582,1.373575
185,0.771000,8.410443,2.489122,-2.673921,-0.187369,0.748613,1.373630
186,0.775000,8.425006,2.482849,-2.682917,-0.187455,0.748643,1.373675
187,0.779000,8.441762,2.467460,-2.679249,-0.187550,0.748671,1.373731
188,0.783000,8.448434,2.458582,-2.679275,-0.187637,0.748703,1.373770
189,0.788000,8.459846,2.455275,-2.683350,-0.187734,0.748724,1.373817
190,0.792000,8.460761,2.454117,-2.692680,-0.187825,0.748737,1.373862
191,0.796000,8.470761,2.447051,-2.689718,-0.187891,0.748750,1.373889
192,0.800000,8.483224,2.440678,-2.685147,-0.187992,0.748770,1.373945
193,0.804000,8.485671,2.435214,-2.682804,-0.188075,0.748787,1.373983
194,0.808000,8.481260,2.439755,-2.690503,-0.188181,0.748813,1.374031
195,0.813000,8.465651,2.438952,-2.684986,-0.188229,0.748843,1.374049
196,0.817000,8.471821,2.444699,-2.686330,-0.188322,0.748858,1.374097
197,0.821000,8.462050,2.446971,-2.689884,-0.188404,0.748886,1.374130
198,0.825000,8.441507,2.455619,-2.697897,-0.188450,0.748916,1.374145
199,0.829000,8.426844,2.465849,-2.697126,-0.188526,0.748940,1.374175
200,0.833000,8.411502,2.473975,-2.695998,-0.188585,0.748949,1.374178
201,0.838000,8.390162,2.486058,-2.698648,-0.188659,0.748973,1.374210
202,0.842000,8.369638,2.487529,-2.685606,-0.188737,0.749001,1.374220
203,0.846000,8.352261,2.502600,-2.681905,-0.188810,0.749012,1.374236
204,0.850000,8.331596,2.510911,-2.696229,-0.188845,0.749008,1.374247
205,0.854000,8.307564,2.521556,-2.694040,-0.188914,0.749020,1.374267
206,0.858000,8.282111,2.524824,-2.682724,-0.188939,0.749027,1.374262
207,0.863000,8.244866,2.538984,-2.679825,-0.188981,0.749043,1.374248
208,0.867000,8.223098,2.550740,-2.681266,-0.189048,0.749063,1.374264
209,0.871000,8.193055,2.561722,-2.676777,-0.189096,0.749060,1.374261
210,0.875000,8.140536,2.553207,-2.693810,-0.189180,0.749090,1.374254
211,0.879000,8.120358,2.574224,-2.679322,-0.189229,0.749078,1.374251
212,0.883000,8.079169,2.572422,-2.682498,-0.189308,0.749085,1.374236
213,0.888000,8.046581,2.583426,-2.676445,-0.189361,0.749087,1.374233
214,0.892000,8.011676,2.594688,-2.673749,-0.189424,0.749081,1.374200
