Format Version,1.23,Take Name,5-6-SID-pitch1,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-05-06 08.42.57.977 AM,Capture Start Frame,259605,Total Frames in Take,44511,Total Exported Frames,44511,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,drone,drone,drone,drone,drone,drone
,ID,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
153,1.275000,-0.235723,0.450858,-1.897072,-0.037781,0.235158,0.723925
154,1.283000,-0.230764,0.449214,-1.898620,-0.037778,0.235154,0.723926
155,1.292000,-0.236302,0.449862,-1.907249,-0.037778,0.235156,0.723926
156,1.300000,-0.238101,0.445148,-1.908659,-0.037775,0.235160,0.723925
157,1.308000,-0.233165,0.447154,-1.907262,-0.037779,0.235152,0.723929
158,1.317000,-0.239571,0.451002,-1.902826,-0.037782,0.235165,0.723919
159,1.325000,-0.233365,0.443791,-1.910207,-0.037778,0.235159,0.723931
160,1.333000,-0.237796,0.448020,-1.909102,-0.037778,0.235162,0.723923
161,1.342000,-0.239012,0.450943,-1.903986,-0.037779,0.235160,0.723924
162,1.350000,-0.238607,0.451120,-1.900507,-0.037775,0.235159,0.723924
163,1.358000,-0.202106,0.473549,-1.862334,-0.037779,0.235130,0.723940
164,1.367000,-0.237965,0.469093,-1.909102,-0.037762,0.235157,0.723923
165,1.375000,-0.243617,0.438889,-1.907020,-0.037777,0.235160,0.723929
166,1.383000,-0.234858,0.441231,-1.911839,-0.037778,0.235158,0.723925
167,1.392000,-0.238699,0.449482,-1.901098,-0.037773,0.235157,0.723924
168,1.400000,-0.241624,0.448859,-1.907786,-0.037777,0.235158,0.723923
169,1.408000,-0.238808,0.451213,-1.903223,-0.037777,0.235161,0.723925
170,1.417000,-0.240494,0.452203,-1.901775,-0.037773,0.235159,0.723922
171,1.425000,-0.237000,0.444344,-1.904487,-0.037780,0.235160,0.723926
172,1.433000,-0.239975,0.451479,-1.906492,-0.037774,0.235155,0.723925
173,1.442000,-0.237836,0.447054,-1.906683,-0.037776,0.235157,0.723920
174,1.450000,-0.238781,0.449531,-1.905248,-0.037780,0.235157,0.723916
175,1.458000,-0.241046,0.445934,-1.903231,-0.037773,0.235156,0.723919
176,1.467000,-0.236728,0.448167,-1.903513,-0.037771,0.235150,0.723922
177,1.475000,-0.237877,0.452368,-1.905554,-0.037776,0.235150,0.723924
178,1.483000,-0.241261,0.448008,-1.905919,-0.037776,0.235155,0.723924
179,1.492000,-0.238364,0.447754,-1.900456,-0.037782,0.235156,0.723914
180,1.500000,-0.238786,0.444796,-1.901666,-0.037780,0.235155,0.723918
181,1.508000,-0.240219,0.442139,-1.903367,-0.037779,0.235153,0.723922
182,1.517000,-0.247394,0.451817,-1.904601,-0.037779,0.235160,0.723921
183,1.525000,-0.237718,0.448259,-1.899233,-0.037778,0.235161,0.723920
184,1.533000,-0.225425,0.471881,-1.882798,-0.037771,0.235138,0.723927
185,1.542000,-0.252126,0.464867,-1.904915,-0.037765,0.235157,0.723917
186,1.550000,-0.242461,0.438140,-1.906704,-0.037787,0.235163,0.723921
187,1.558000,-0.231998,0.438744,-1.901822,-0.037781,0.235155,0.723924
188,1.567000,-0.240330,0.445859,-1.902994,-0.037777,0.235159,0.723924
189,1.575000,-0.244995,0.447762,-1.898324,-0.037781,0.235163,0.723918
190,1.583000,-0.244317,0.449660,-1.900082,-0.037779,0.235159,0.723916
191,1.592000,-0.239659,0.452705,-1.893373,-0.037783,0.235158,0.723918
192,1.600000,-0.237511,0.451455,-1.904985,-0.037779,0.235158,0.723916
193,1.608000,-0.236363,0.446196,-1.904434,-0.037783,0.235157,0.723921
194,1.617000,-0.243780,0.452256,-1.908436,-0.037786,0.235164,0.723918
195,1.625000,-0.236567,0.450059,-1.901294,-0.037779,0.235156,0.723918
196,1.633000,-0.234286,0.454369,-1.902302,-0.037775,0.235160,0.723923
197,1.642000,-0.243785,0.446831,-1.903429,-0.037783,0.235162,0.723913
198,1.650000,-0.208234,0.468576,-1.871383,-0.037787,0.235137,0.723932
199,1.658000,-0.242205,0.462853,-1.909317,-0.037772,0.235156,0.723912
200,1.667000,-0.239557,0.444457,-1.899201,-0.037786,0.235166,0.723915
201,1.675000,-0.236234,0.448755,-1.897317,-0.037784,0.235157,0.723921
202,1.683000,-0.244011,0.444793,-1.902349,-0.037782,0.235167,0.723923
203,1.692000,-0.238566,0.452604,-1.902177,-0.037778,0.235160,0.723924
204,1.700000,-0.241274,0.453698,-1.901720,-0.037780,0.235160,0.723919
205,1.708000,-0.240923,0.451756,-1.905645,-0.037784,0.235159,0.723918
206,1.717000,-0.237258,0.450418,-1.906728,-0.037776,0.235159,0.723920
207,1.725000,-0.243208,0.451959,-1.897001,-0.037774,0.235158,0.723923
208,1.733000,-0.240042,0.442043,-1.907965,-0.037778,0.235156,0.723922
209,1.742000,-0.241776,0.451646,-1.899601,-0.037779,0.235163,0.723921
210,1.750000,-0.236912,0.454195,-1.894722,-0.037778,0.235157,0.723920
211,1.758000,-0.243886,0.449064,-1.900816,-0.037778,0.235163,0.723922
212,1.767000,-0.238392,0.453691,-1.904396,-0.037775,0.235154,0.723923
213,1.775000,-0.244154,0.451925,-1.899252,-0.037778,0.235160,0.723919
214,1.783000,-0.241222,0.442545,-1.901998,-0.037780,0.235166,0.723921
215,1.792000,-0.246881,0.440348,-1.907572,-0.037781,0.235165,0.723919
216,1.800000,-0.246389,0.454705,-1.900642,-0.037777,0.235161,0.723920
217,1.808000,-0.240814,0.444452,-1.905473,-0.037775,0.235159,0.723926
218,1.817000,-0.241529,0.446279,-1.900058,-0.037779,0.235163,0.723921
219,1.825000,-0.240698,0.442381,-1.902193,-0.037773,0.235164,0.723926
220,1.833000,-0.241981,0.448640,-1.898075,-0.037776,0.235161,0.723919
221,1.842000,-0.241183,0.452133,-1.896102,-0.037775,0.235166,0.723920
222,1.850000,-0.242977,0.453352,-1.901954,-0.037774,0.235162,0.723924
223,1.858000,-0.239492,0.438530,-1.904713,-0.037775,0.235160,0.723925
224,1.867000,-0.233996,0.442611,-1.905309,-0.037775,0.235158,0.723921
225,1.875000,-0.235166,0.454963,-1.903419,-0.037772,0.235154,0.723919
226,1.883000,-0.239677,0.448351,-1.894619,-0.037782,0.235157,0.723918
227,1.892000,-0.237259,0.448740,-1.908712,-0.037776,0.235154,0.723925
228,1.900000,-0.241020,0.451036,-1.896974,-0.037775,0.235155,0.723926
229,1.908000,-0.236298,0.445651,-1.896706,-0.037772,0.235158,0.723930
